"wynagrodzenie";"plec";"ubezpieczenie";"zamieszkanie";"wyksztalcenie";"oszczednosci";"wiedza";"wiek"
2,64;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";62
1,87;"K";"Tak";"Wieś";"Podstawowe";"5%-10%";"Mała";39
1,97;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Średnia";26
1,89;"K";"Tak";"Wieś";"Wyższe";"10%-15%";"Duża";55
1,86;"K";"Tak";"Miasto";"Zawodowe";"5%-10%";"Mała";29
1,81;"K";"Nie";"Miasto";"Zawodowe";"0%";"Duża";31
1,89;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";26
1,92;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";38
1,97;"K";"Tak";"Wieś";"Wyższe";"Powyżej 15%";"Nie mam wiedzy";33
1,82;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";42
2,94;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";45
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";24
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";33
1,93;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";27
2,33;"M";"Tak";"Miasto";"Wyższe";"5%-10%";"Średnia";39
2,61;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Średnia";33
1,87;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Nie mam wiedzy";35
1,83;"K";"Nie";"Miasto";"Zawodowe";"0%";"Średnia";49
1,85;"K";"Tak";"Miasto";"Zawodowe";"5%-10%";"Średnia";53
1,82;"K";"Nie";"Miasto";"Podstawowe";"0%";"Nie mam wiedzy";34
2,5;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Średnia";34
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";43
1,87;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Nie mam wiedzy";27
1,83;"K";"Nie";"Wieś";"Zawodowe";"0%";"Mała";37
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";44
1,62;"M";"Nie";"Wieś";"Podstawowe";"0%";"Mała";39
3,67;"M";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Duża";34
1,88;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Średnia";42
3,53;"M";"Tak";"Wieś";"Zawodowe";"Powyżej 15%";"Mała";32
1,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Mała";37
3,17;"M";"Tak";"Miasto";"Zawodowe";"10%-15%";"Duża";33
1,92;"K";"Tak";"Miasto";"Wyższe";"10%-15%";"Średnia";38
1,83;"M";"Nie";"Miasto";"Podstawowe";"0%";"Duża";54
1,81;"K";"Nie";"Miasto";"Podstawowe";"0%";"Nie mam wiedzy";32
2,25;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Średnia";48
2,14;"M";"Nie";"Miasto";"Zawodowe";"5%-10%";"Duża";46
1,82;"K";"Nie";"Wieś";"Podstawowe";"0%";"Nie mam wiedzy";27
2,05;"M";"Nie";"Miasto";"Zawodowe";"Mniej niż 5%";"Mała";26
2,93;"M";"Tak";"Miasto";"Wyższe";"10%-15%";"Mała";43
1,85;"K";"Tak";"Miasto";"Wyższe";"5%-10%";"Mała";45
2,53;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Mała";41
1,98;"M";"Nie";"Wieś";"Podstawowe";"Mniej niż 5%";"Duża";22
2;"K";"Tak";"Miasto";"Zawodowe";"Powyżej 15%";"Mała";25
1,95;"K";"Tak";"Miasto";"Podstawowe";"10%-15%";"Nie mam wiedzy";20
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";30
3,12;"M";"Tak";"Miasto";"Średnie";"10%-15%";"Duża";35
1,83;"K";"Nie";"Miasto";"Podstawowe";"0%";"Mała";26
2,88;"M";"Tak";"Wieś";"Wyższe";"10%-15%";"Duża";21
1,91;"K";"Tak";"Miasto";"Podstawowe";"10%-15%";"Mała";28
1,83;"K";"Nie";"Wieś";"Zawodowe";"0%";"Średnia";44
1,91;"K";"Tak";"Miasto";"Średnie";"10%-15%";"Nie mam wiedzy";35
1,86;"K";"Tak";"Miasto";"Średnie";"5%-10%";"Mała";36
1,97;"K";"Tak";"Miasto";"Średnie";"Powyżej 15%";"Duża";39
2,37;"M";"Tak";"Wieś";"Średnie";"5%-10%";"Średnia";40
1,89;"K";"Tak";"Miasto";"Zawodowe";"10%-15%";"Nie mam wiedzy";25
